Job Title,Key Skills
hr executive,erp| mis| succession planning| reports| talent management| human resources| hr policies| recruitment| talent acquisition
sales/business development manager,revenue generation| marketing| ad sales| web technologies
project architect,co ordination| team management| drafting| loans| online| coordination| quality
software developer,english| php| xml| dom| soap| com| web technologies| written communication| email| time
system analyst,cloud| puppet| python| git| kvm| linux| jenkins| openstack| ansible
software developer,national| branch| vice president| j2ee| software
software developer,mentor| android| consulting| usage| development| software| mobile| it| side| front end| web technologies| coding| web| backend| open source| programming| investment
testing engineer,performance testing| software testing| manual testing| quality testing
associate/senior associate -,international bpo| bpo| kpo| web chat| non voice process| e mail| international call center| customer service representative| cse| interpersonal skills| ites| uk shift| customer service| e commerce| customer care| customer support| bpo fresher
front office/guest relations executive/manager,innovative| aggressive
design engineer,communication skills| detail engineering| material handling| autocad| detailing| design engineering| microstation| bid evaluation
software developer,design| android| erp| software| mvc| quality
technical writer,technical writing| technical documentation| articles| writing skills| product support
design engineer,ansys| thermal| matlab| system design| recruitment| mccb| electricals
sales/business development manager,product placement| market research| distributor handling| business development executive| customer service| customer service executive| secondary sales| supervision
accounts executive/accountant,management accounting| accounting| vat| book keeping| sage| tax returns
sales/business development manager,trade| forex trading| forex| fx| lead generation| accounting| banking| revenue generation| current account
software developer,xml| javascript| php| development| css| technical| analytical| software| testing| html| tools| joomla| coding| jquery| web| mysql| wordpress| design| xhtml| debugging| ajax
engineering manager,zld| engineering management| knitting
accounts executive/accountant,analyst| erp| change management| business objects| managed services| business process mapping| executive management| data mining| oracle project accounting| testing
training manager,erp| succession planning| mis| reports| talent management| human resources| hr policies| recruitment| talent acquisition
software developer,intern| linux| windows| unix| dns| c++| perl| iis| redhat| http
software developer,c| woocommerce| magento| wordpress| mysql| php| shopify| jquery| web development| ajax
software developer,css| singleton| xml| javascript| jdbc| struts| json| html| spring boot| jquery
sales/business development manager,business development management| bd| marketing| business development| projects| business development manager| bdm| tendering| proposal
testing engineer,ethical hacking| certified ethical hacker| networking protocols| penetration testing| nessus| nmap| fortify| vulnerability assessment| appscan| qualys
graphic designer,graphic designing| graphics| adobe creative suite| architecture| ms office| business executive
sales executive/officer,payment collection| costing| business development executive| lead generation| sales| vendor| cost
client servicing executive,internship| digital marketing| social media| relationship building| animation| creative| indesign| business executive| presentation skills| senior
sales executive / officer,market penetration|marketing|customer satisfaction|enterprise business|web technologies|business development|strategy|aws|sales
software developer,jquery| git| microsoft sql server| net asp net| software| testing| ado.net| microsoft| tools| sql| unit tests| database| application| web| design| .net| object oriented programming| support| programming
recruitment executive,technical recruitment| us staffing| us recruitment| us recruiter| us it staffing| technical recruiter| it recruiter| recruiter| w2| c2c| talent acquisition| recruitment| staffing| sourcing
sales coordinator,project administration| coordination
solution architect / enterprise architect,order management system| sterling commerce| sterling| oms| sterling integrator| ecommerce| e commerce
software developer,analytical| documentation| web development| algorithms| development| javascript| sql server| jquery| database| web| flex| design| mysql| net
workman/foreman/technician,nctvt
software developer,drupal| application programming| mysql| wordpress| php| cakephp| team leader| mvc| zend| software services
sales executive/officer,outbound| sales| project management| analytical| sales lead| automation tools| sales process| marketing automation
design engineer/manager,autocad| 3d modeling| fmea| mechanical engineering| mechanical design| solidworks
technical lead/project lead,automation engineer
team leader -,revenue cycle management| us healthcare| payment posting| medical billing| medical coding| us visa| team leading skills| healthcare| denial management| rcm
quality assurance/quality control executive,voice process| qaqc| writing| process operations| verbal
analytics manager,predictive modeling| sas| data management| data mining| tableau| data analytics| statistics| analytics| sql| python
trainee,molecular biology| chemistry| biotechnology| bhms| biology| physiotherapy| microbiology| nursing| biomedical| physics| medical coding| biochemistry| pharmacy| ophthalmology| micro biology| bioinformatics| zoology| biotech
accounts executive/accountant,accounts executive| accountant| stock management| gst| auditing| statutory compliance| accounting| account assistant| bank reconciliation| tax audit| banking| monthly reports| payroll| salary processing| income tax| income tax return| taxation
software developer,informatica power center| informatica
search engine optimisation /seo specialist,digital marketing| seo specialist| advertising agency| online marketing| seo| seo expert| facebook marketing
engineering manager,validation| installation| breakdown maintenance| industrial safety| gmp| boiler| design| hvac| gensets| air compressor| breakdown| ro| who
financial analyst,forecasting
ppc /pay per click specialist,pay per click| google adwords| search engine marketing| ppc| sem| google analytics| website analysis| yahoo| web analytics| marketing initiatives
medical representative,marketing officer| pharma sales| marketing representative| marketing executive| pharma marketing| sales officer| sales representative| business development executive| fresher| trainee| sales executive
project manager,project management| ppap| automotive| external audit| conflict resolution| resource mobilization| pfmea| risk management| project life cycle
public relations & media relations manager,pr| public relations| media relations| social media| marketing communication| corporate communication| media relation| corp comm| online media| public relation| journalism| advertising| mass communication
fresher,counselling| couselling| fresher| student counsellor| student counseling
fresher,help desk| customer service| customer relationship| access controls| asset management| vendor management
software developer,asp dot net| .net developer| dot net developer| asp.net| asp . net
other,secondary research| valuation| finance| real estate| primary| report preparation| business development| due diligence| financial modelling
lecturer/professor,teaching| educator| counselor| mentor| trainer| advisor
documentation/medical writing,x ray| medical transcription| ultrasound| ct scan
software developer,cms| javascript| wordpress| drupal| joomla| ajax| cakephp| zend| knowledge| xhtml
sales/business development manager,sales| management| sales management| educational sales
associate/senior associate -,outbound| antivirus| technical support| technical support associate| process| sales| inbound calls| us shift| comp
associate/senior associate -,technical support| english| comp| customer care executive| inbound calls| antivirus| issue| software
it/networking,c#|application development|senior level|ms sql|visual basic|power bi|msbi|ssis|recruitment|data integration
sales executive/officer,escalation management| field sales executive| sales achievement| training| insurance sales
sales trainer,team management| salesforce| usage| sales| skill development| training| productivity improvement| training management| sales budgeting| tsi
associate/senior associate -,networking| unix| change management| scheduling| publishing| incident management| vmware| problem management| remedy| sip
trainer,planning| training| training manager| trainer| faculty
sales/business development manager,sales| billing| ms office| business reporting| insurance sales| mis preparation| usage| corporate| networking| retail
technical support engineer,customer support| support service| field support| team| management| supervisor| self motivated| continuous improvement| give| enthusiastic
software developer,javascript| sql| xml| server| css| technical| software| developing| html| tracking| database| web| application development| net| programming| ajax| development| dom| solid| data integrity| stored procedures| reporting tools| application| applications
senior design engineer,senior design engineer| engineering design| sacs
head/vp/gm,c| python| six sigma| pmp| .net| html| javascript| sql| oracle| assembly language| real time operating systems
associate/senior associate -,technical support executive| electrical engineering
business analyst,data analysis| automation| google analytics| excel| analytical| business intelligence| analytics| product marketing| sql| data extraction
software developer,detail design|juniper|smsc engineer|routing|ip networking|network elements|network troubleshooting|high level design|data center|switching
restaurant manager,assistant restaurant manager| restaurant| restaurant manager
graphic designer,layout| visualization| digital media| graphic design| html| illustration| tools| part time
head/vp/gm/national manager,selling| accounts| events| prospecting| business operations| ideas| coordinating| tracking| closing| maintaining
web designer,photoshop| illustrator| seo| jquery| fireworks| css3| gui| usability| development| static
graphic/web designer,photoshop| html| wordpress| css3| bootstrap| web technologies| html5| css
software developer,python
graphic/web designer,server| multimedia| troubleshooting| graphics| audio| monitoring| javascript| jquery| user interface| css3
head/vp/gm,senior management| mis reporting| building| training| management| risk| vice president| focus| trade| associate vice president
head/vp/gm/national manager,sales head| tied channel| sales| business growth| profitability| business operations| new business| alliances
head/vp/gm,project management
research scientist,qa| life sciences| development quality assurance| life cycle| regulatory affairs| dqa| qms| dmf
accounts manager,accounting| finance| financial reporting| statutory compliance| gst| vat
sales/business development manager,data analysis| consumer research| management| head business development
testing engineer,testing| quality| manual testing| etl| bi| dw| datawarehouse testing
quality assurance/quality control executive,assembly language| six sigma| pmp| c| javascript| .net| html| oracle| python| sql
sales executive/officer,product management| business process| linkedin| automation| cv| email| git| technical| sdlc| ideas
software developer,ajax| javascript| php| erp| website| development| software development| module| mca| application development| application| web| programming
associate/senior associate -,customer service| customer care| team| communication| bpo| call center| inbound| voice| backend| non voice| telecalling| cse| cro| cce| data entry| back office| voice process| domestic bpo| fresher| trainee| telemarketing| outbound| sales| hardware| networking
software developer,oracle|core java|business process|outsourcing|operations|spring integration|j2ee|spring framework|jee|manager technology
associate/senior associate -,ms office| data entry
sales/business development manager,customer relationship| automobile| proposal preparation| crm strategy| architecture| database| testing
software developer,unix| version control| prototype| xml| mysql| php| json| mvc| ajax| css3
merchandiser,merchandising| buyer activities| follow ups| vendor| purchase| vendor development| tracking
team lead/technical lead,c#| azure| powershell| script writing| api| debugging| devops| application integration
executive/ sr executive,operations management| mobilization| resource mobilization| general management| interview| recruitment
associate/senior associate -,customer support executive| customer service| business executive| process
daycareteacher / incharge / attendant,staff training| day care| recruitment
associate/senior associate -,process| spot| technical support| night shift| international bpo
social media marketing manager,digital marketing|email marketing|adwords|display advertising|digital campaigns|google analytics|sem|seo
team lead/technical lead,java| cisco call manager| visa| j2ee| sip| offshore| communication skills
sales / bd manager,sales| business development| change management| mobile| mobiles| handset| mobile handset| marketing| relationship management| distribution management| channel management| dealer management| retailer
technical support engineer,international call center| technical support| maintenance| communication skills| pc hardware| technician activities| social media| analytical ability| soft skills| customer satisfaction
graphic designer,illustrator| corel draw| photoshop
testing engineer,manual testing| informatica| microsoft| process automation| system testing| pdf| artificial intelligence| regression testing| silicon| analytics
team lead/technical lead,technical architecture| fusion| oracle fusion
graphic/web designer,layout design| corel draw| web designing| photoshop
associate/senior associate -,bpo voice| voice process| international bpo
software developer,html5| asp
sales/business development manager,product training| sales| relationship| banking| recruitment
client servicing/key account manager,customer profitability| receivable management| education| relationship building| transportation| service| monitoring| key accounts
logistics manager,stores| warehouse| logistics
associate/senior associate -,bpo| outbound| english| email| inbound calls| customer service| troubleshooting| technical support| recruitment| comp
software developer,linux| agile| python| computer science| coding| fixed income| machine learning| asset management| jira| financial services
executive/ sr executive,english| ms office| admin executive| billing| stock inventory| writing| office management| management| business executive| application
head/vp/gm,credit officers| risk management| administration| report generation| analysts| analytical skills
accounts manager,balance sheet finalisation| service tax| bank reconciliation| gst| income tax| taxation| financial auditing| finance| tax audit
associate/senior associate -,accounts payable| accounting| ap
software developer,change management| healthcare| analyst| business analyst| social media| problem management| software development life cycle| scheduling| oee
client servicing/key account manager,copyright| customer service representative| cv| customer service| security| troubleshooting| cctv
software developer,css| jquery| mysql| javascript| html| web development| laravel| codeigniter
project manager,networking| telecom| lan| wan| bss| vpn| wireless| telecommunication| costing| visio
lecturer/professor,teaching| educator| counselor| mentor| trainer| advisor
financial analyst,business communication| analytical skills| business objects| team management| management| transition management| trend analysis| variance analysis| analytics
head/vp/gm/national manager,usage| pdf| c| social media| cash handling| database| customer service| merchandising| advertising
technical architect,salesforce| salesforce.com| system design| application architecture
project manager,execution|project management|ao engagement|monitoring tools|delivery management|stakeholder management|system monitoring
fresher,recruitment| hiring| hr| screening| interviewing| staffing
sales/business development manager,bca| cold calling| bidding| academic| customer service| documentation| selling| web development| seo| mba
software developer,java| webservices| spring| hibernate| system design| esb| sql| spring boot| javascript
software developer,debugging| troubleshooting| python| interpersonal skills| oops| programming| developer
sales/business development manager,direct sales| cold calling| english| networking| business development manager| customer interfacing| data collection| service| digital marketing| who
software developer,build automation| entity framework| mvc| microsoft| sql
associate/senior associate -,technical support| outbound| troubleshooting| recruitmentenglish| antivirus| comp| customer service executive| domestic bpo
associate/senior associate -,outbound| medical| technical support| technical support associate| email| sales| us shift| antivirus| troubleshooting| comp
outside consultant,hr| human resource management| placement coordination| recruitment executive| recruitment officer
purchase executive,strategic sourcing| procurement| supply chain management| packaging| vendor management
software developer,test engineering
associate/senior associate -,outbound| technical support associate| sales process| process| senior| technical| us shift| technical support| international bpo
trainer,corporate training| corporate trainer| technical trainer
software developer,java| mongodb| hibernate| spring| jms
purchase/vendor development manager,procurement| supply chain management| automation| copyright| chain| purchase| head operations| steel| business executive
software developer,software development life cycle| css| html5| ui development| design patterns| svn| software engineering| angularjs| javascript
telecalling/telemarketing executive,good communication skill| good speeking manners| ability to face strangers| punctual| gopod efficiency
cashier,cash handling| cashier activities| day book| cashier| restaurant| csat
fresher,c#| .net| asp.net
trainee,excel| sales| conflict resolution| analytical| management trainee| power point presentation| ms office
testing engineer,manual testing| eclipse| coding| scrum| enterprise applications| healthcare| jira| android sdk| test driven development| business analyst
production manager,production management| production control| production planning| production manager| planning| production support| organizing
associate/senior associate -,outbound| medical| technical support| technical support associate| email| technical| us shift| antivirus| troubleshooting| comp
content developer,digital media| php| recruitment| bengali| lms| business administration| content editor| journalism| literature| administration
software developer,graphics| simulation| power management| electronics| hardware| research| system analysis| electricals
visualiser,motion graphics| infographics| illustrator| animations| infographics| corel draw| photoshop| coreldraw| visual designer
graphic/web designer,illustrator| web designing| photoshop| css| web technologies| xml| intranet| business executive
accounts executive/accountant,tally| retail| accounts executive| retail executive
accounts manager,financial reporting| due diligence| data analysis| accounting| international finance| banking
sales executive/officer,nse| lead generation| compliance| relationship| equity| client acquisition| research| revenue generation| monitoring| hni client handling
software developer,mysql| javascript| uml| server| css| technical writing| html5| bootstrap| microsoft| technical support| sql| cloud| ui| web| design| asp.net| mvc| api| architecture| level| visual studio| quality| ms sql| infrastructure| .net| agile| angularjs| aws
sales officer,mis reporting| trade| operational risk| banking| relationship| client relationship| saving
sales/business development manager,sales strategy| sales management| b2b sales| corporate sales| institutional sales
software developer,soa| sql| relationship management| server| software| jquery| service oriented architectures| quality systems| software implementation| computer science| sql server 2008| design
creative director,art director
associate/senior associate -,fresher| icse| inbound process| outbound| international bpo| uk process| bcom| communication skills| back office| cbse| web chat| chat process| aviation| guest relations| public speaking| pr
associate/senior associate -,outbound| telesales| night shift| english| process| technical| inbound calls| service| printers| business executive
associate/senior associate -,outbound| service| technical support| process| inbound calls| domestic bpo| bonus| business executive| comp
solution architect / enterprise architect,single sign on| single sign on| it infrastructure| sso
architect,layout| coordinating| material selection| ms| mep| photoshop| corel draw| co| monitoring| plumbing
software developer,coding|database design|test cases|analytical|nosql|cassandra
voice & accent trainer,accent| auditing| soft skills| training needs| customer service| process compliance
sales/business development manager,sales| fresher| marketing
software developer,java ee| hibernate| core java| software development| spring mvc| multithreading| ood| jdbc| spring boot| jsf
technical architect,virtualization| cloud computing| server architecture| windows troubleshooting| customer satisfaction| manager technology| deployment| management
sales executive/officer,business development| sales| sales marketing| marketing executive| sales executive| sales officer| sales manager| area sales manager| territory sales manager| territory manager| area manager| regional manager| regional sales manager| regional business manager
sales/business development manager,sales| sale| networking sales| it solution sales| structured cabling| passive networking| data center| cable tray| cabling| data center rack| data centre rack| lan| utp cables
sales/business development manager,marketing executive| distributors| customer profiling| sales strategy| market research| business development| sales executive
finance/budgeting manager,fundraising| finance
associate/senior associate -,worldspan| travel sales consultants| galileo| amadeus| gds
software developer,front end| email| pdf| min| ui| phone| strategic hr| doc| consultancy| recruitment
outside technical consultant,cvs| erp| rest| middle east| technical| customization| e commerce| crm| open| who
software developer,java|angular js|hibernate|core java|technical leader|technical|javascript|spring|jquery|js framework
csr manager,senior management| ngo| key skills| corporate social responsibility| govt liasioning| corporate pr| external communications
software developer,asp.net mvc| entity framework| api
sales officer,loans| direct sales associate| policies| bfsi| finance| sanction| who
surgeon,monitoring| senior resident| ram| dnb| dmc
software developer,angularjs| css| responsive web design| javascript| bootstrap| html| json| jquery| web development| grunt
software developer,python| open source| database| automation| java| linux| perl| monitoring| nosql
associate/senior associate -,pr| international bpo| chat process| aviation| back office| web chat| guest relations| public speaking| bcom| fresher| inbound process| outbound| uk process| icse| communication skills| cbse
testing engineer,qa| functional testing
sales/business development manager,sales engineering
software developer,design development|software engineering|lighting|computer science|product quality|automation testing|asset management|gui|object oriented programming|android
accounts executive/accountant,nav calculation| fund accounting| automation| corporate actions| accounting| process improvement| analytical| reconciliation| standard operating procedures| subject matter expert
business analyst,networking| secondary research| recruitment| analyst| network security| research| ips| advisory| firewall
recruitment executive,hiring| hris| procurement| hr| sourcing| recruitment| staffing
software developer,computer science| continuous improvement
medical representative,pharmaceutical| medical| pharma| medical billing| healthcare
software developer,css| wordpress| mysql| javascript| php| html| jquery| seo| ajax| hosting
"suguna group was founded in the year 1984 with the inception of suguna foods in poultry sector by first generation entrepreneurs. suguna is a usd 1.3 billiongroup and leader in indian protein food/animal farming industry. with an employee footprint of more than 8500, the group is in to poultry, dairy, processed protein food, animal nutrition, healthcare & biologicals. group companies are suguna foods, suguna dairy, globion, aminovit srilanka, suguna bangladesh and kenya. suguna foods is the largest poultry enterprise in india and it ranks among the top 10 worldwide. the fully integrated operations cover broiler and layer farming, hatcheries, feed mills, processing plants, vaccines and exports. suguna markets live broiler chicken, value added eggs, ready",mechanical operation|preventive maintenance|mechanical|engineeringbreak down maintenance|mechanical maintenance
software developer,javascript| html| ajax| jquery| php mysql| smarty| api| analytical| third party| software development life cycle
associate/senior associate -,renewable energy|power distribution|power sector|banking|electricals
proof reader,spanish language expert| chinese| spanish| medical
associate/senior associate -,sales associate| support| voice process| issue| senior| technical| inbound calls| bonus| us shift| software
associate/senior associate -,mcse| database| support engineer
software developer,ssrs| sql server| stored procedures| sql development| ms sql
software developer,git| linux| machine learning| python
nurse,gnm| business executive
direct marketing executive,institutions| relationships| marketing executive| customer| customers| implementation| company| site| product
hr executive,recruitment|volume hiring|hr|bpo hiring|sourcing|interviewing|onboarding|staffing|orientation|human resource management
software developer,java| css| rest| spring mvc| javascript| html| jpa| spring boot| jquery| web services
head/vp/gm,financial analysis| financial planning| taxation| vp finance
content developer,publishing| seo| content management| social media| wordpress| management systems| research| brand awareness| web technologies| journalism
head/vp/gm,auditing| audit planning| risk assessment| banking| credit risk| credit policy
software developer,c++| development| gaming| c| software| html| ios| opengl| iphone| design| mysql| javascript
sales executive/officer,business development| e commerce| sales executive| sales associate| sales officer| sales| field sales| mba fresher| fresher| new product development| channel sales
software developer,rest| java| sql| oop| angularjs| ui development| oracle
software developer,javascript| php| html| visualization| jquery| web| programming| commerce| web designing| application| android
team lead/technical lead,process automation| commodity markets| artificial intelligence| market intelligence| machine learning| corporate| relationship| operations| analytics| robotics
sales/business development manager,it sales| marketing campaigns| social media| btl| marketing management| digital marketing| dealer sales| channel partners| communication skills| process flow
software developer,android| troubleshooting| middleware| firmware| soc| linux kernel| bluetooth| computer science| test scripts| test strategy
associate/senior associate -,outbound| antivirus| technical support| voice process| technical support executive| us shift| inbound voice process| customer service executive| comp| international bpo
sales executive/officer,sales executive| cold calling| market research| customer profiling| sales executive| marketing executive| distributors| business development| sales strategy
recruitment executive,administration| hr| recruitment| recruitment executive| ir
technical architect,web development| analytics| healthcare| software design| monitoring| jira| computer science| backend| inside sales| cloud
branch manager,team management| advisory services| general insurance| sales initiatives| financial products| distributor sales| branch sales| sales development| motor insurance| marketing
sales executive/officer,clinical pharmacy| mr| sales officer| territory executive| business development| sales executive
purchase/vendor development manager,sap| procurement| scm| material| sheetmetal| sheet metal| purchase| vd| vendor development| sourcing| bop
software developer,angularjs| css| core java| dom| computer science| javascript| html| spring| ajax
other,data analysis| admissions| placements| help desk| access controls| asset management
sales/business development manager,marketing| bdm| sales| business development| it sales| ncr| hardware sales
associate/senior associate -,outbound| night shift| service| english| process| technical| technical support| inbound calls| voice process| group
service/maintenance engineer,rt| pt| mpi| ndt inspection| ndt level| diploma| quality inspection| level ii| inspection engineering| mechanical engineering| ut
associate/senior associate -,customer service| healthcare| customer relationship| windows| graphic designing| cad| illustrator| customer satisfaction| application software
associate/senior associate -,bpo| any graduate| voice process| voice support
associate/senior associate -,outbound| antivirus| comp| technical support| technical support associate| technical sales associate| sales| technical associate| voice support| inbound calls
head/vp/gm,equipment maintenance| hydraulics| inventory management| management skills| maintenance head| electricals
software developer,hive| apache| itil process| hadoop| big data| aws| core java
sales/business development manager,motor insurance| insurance sales| insurance broking| general insurance
team lead/technical lead,sql|hibernate|multithreading|ooad|eclipse|business process|outsourcing|version control|memory management|control system
senior design engineer,catia| autocad| pressure vessels| mechanical| primavera| pscad
purchase/vendor development manager,team management| project execution| program management| customer experience| data analytics| supply chain| operations planning
sales/business development manager,business development management| sales management
associate/senior associate -,technical support| outbound| comp| technical| domestic bpo| us shift| process| inbound calls| bonus
front office/guest relations executive/manager,operations| inventory management| vendor management| bhm| hospitality| front office| guest relations| hospitality management| hotel management
software developer,financial s| windows| android| mobile development
software developer,hardware board design| mixed signal| design engineering
head/vp/gm,environment| functional| operations| business| verbal communication| coaching| analytical skills
recruitment executive,screening| linkedin| it recruitment| hr recruitment| database| recruiter| sourcing| interviewing| recruitment
software developer,java| linux| server| development| eclipse ide| c| technical| mobile| eclipse| objective c| usability| ui| design| debugging| backend| developer| programming| applications
counter sales,retail sales| sales executive activities| revenue generation| inhouse sales
associate/senior associate -,bpo| customer support| international bpo| voice process| international voice| international voice process
team lead/technical lead,j2ee| core java| jquery| erp| tomcat| eclipse| open source| selenium| computer science| ofbiz
physics teacher,counselor| mentor| trainer| advisor| teaching
sales/business development manager,lead generation| branding| business development| sales management| market research| competitive intelligence| market analysis| marketing
design engineer,wireless| automation| simulation| networking| aerospace| fpga| coding| system verilog| automotive| physical design
recruitment executive,hr| recruitment| recruiter| hiring| head hunting| leadership| mass hiring| volume hiring| bulk hiring| team leader| senior| tl| non it| it recruitment| technical hiring| it recruiter| bfsi| engineering| manufacturing| insurance| bpo| it
accounts executive/accountant,associate
software developer,javascript| html| sql server| ajax| jquery| soa| oop| english| proactive| asp net c
sales/business development manager,marketing executive| sales| distributors| customer profiling| sales strategy| market research| business development| sales executive
logistics executive,qms| impex| environmental management system| warehouse management system| export import logistics
software developer,java| core java| j2ee| hibernate| spring| ldap| adfs| json| soap| jquery| rest| javascript| java web services| java api| advanced java| mvc| web services| open source| soa| cloud| spring integration
software developer,spring boot| spring security| spring mvc
technical architect,dynamics crm| .net| azure| visual studio| microsoft dynamics| solution management| root cause| microservices| .net development
sales/business development manager,marketing strategy| strategic thinking| interpersonal communication| sales| promotions| accounting| account management| team leading| business development management| advertising
accounts executive/accountant,o2c|otc|order management|credit management|communication skills
architect,visualization| m e p| modeling| drafting| design development| drawings| cad| preparation| quality
senior design engineer,pnr| primetime| sta| floorplan| timing closure| synthesis| vlsi| physical design| floor planning
purchase executive,assistant manager purchase
software developer,sql| python| analytics| machine learning| solution architecture| analytical| scala| cosmos| programming| data warehousing
quality assurance/quality control manager,bpo| transactional quality| quality management| quality manager| manager quality
technical support engineer,iis| exchange server| windows server| wss| sharepoint| active directory
sales/business development manager,pharma chemicals| business development| api| intermediates| sales
team lead/technical lead,hibernate| design patterns| cloud| spring boot| team leader| core java| web services| microservices
dba,exadata| performance tuning| 11g| patching| sql| dataguard| rac| cassandra| oracle database| weblogic| ebs| asm| apps dba| cloning
pharmacist/chemist/bio chemist,hospital| pharma| pharmacy
sales/business development manager,sales| insurance sales| agency sales| direct sales| life advisor| channel sales| life insurance advisor| life insurance| agency
technical / process trainer,training needs| soft skills| accent| hr| feedback| coaching| customer service| process compliance
project manager,real estate construction| project management| interpersonal communication| communication skills| project manager| project coordinator| site coordinator
associate/senior associate -,international bpo| chat process| voice based process| tele caller| process developer| sales| b.a| exl| communication skills| ba| blended process| bba| wipro| tcs| bbm| customer support| bcom| cse| accenture| fresher| wns
customer support engineer/technician,project support| banking| maya| e commerce| big data
system administrator,networking| it asset| antivirus| hardware troubleshooting
purchase/vendor development manager,procurement| business process| it services| automation| data services| master data management| consulting| vendor| troubleshooting| business executive
associate/senior associate -,recruitment| outbound| technical support| english| comp| email| troubleshooting| domestic bpo| international bpo| inbound calls
